ADMIN,NAME
Bolivia,Bolivia
Colombia,Colombia
Niger,Niger
Palestine,Palestine
Algeria,Algeria
Laos,Laos
Germany,Germany
Japan,Japan
Western Sahara,W. Sahara
Uzbekistan,Uzbekistan
Canada,Canada
Kazakhstan,Kazakhstan
Poland,Poland
Greenland,Greenland
Nigeria,Nigeria
Ghana,Ghana
China,China
Slovakia,Slovakia
Ethiopia,Ethiopia
Montenegro,Montenegro
Guyana,Guyana
Ecuador,Ecuador
Burundi,Burundi
Vanuatu,Vanuatu
Nepal,Nepal
Armenia,Armenia
Romania,Romania
Greece,Greece
Brunei,Brunei
Bosnia and Herzegovina,Bosnia and Herz.
Republic of Serbia,Serbia
Kosovo,Kosovo
Papua New Guinea,Papua New Guinea
Guatemala,Guatemala
Gambia,Gambia
Tunisia,Tunisia
United Arab Emirates,United Arab Emirates
Oman,Oman
Costa Rica,Costa Rica
Kyrgyzstan,Kyrgyzstan
Syria,Syria
Mauritania,Mauritania
Albania,Albania
South Korea,South Korea
Italy,Italy
Azerbaijan,Azerbaijan
Finland,Finland
Paraguay,Paraguay
Georgia,Georgia
Philippines,Philippines
Uganda,Uganda
Nicaragua,Nicaragua
Equatorial Guinea,Eq. Guinea
Afghanistan,Afghanistan
Hungary,Hungary
New Caledonia,New Caledonia
Saudi Arabia,Saudi Arabia
Antarctica,Antarctica
Northern Cyprus,N. Cyprus
Cyprus,Cyprus
Macedonia,Macedonia
Austria,Austria
Spain,Spain
eSwatini,eSwatini
Argentina,Argentina
Mongolia,Mongolia
Tajikistan,Tajikistan
Turkmenistan,Turkmenistan
Lithuania,Lithuania
Turkey,Turkey
Switzerland,Switzerland
Portugal,Portugal
Solomon Islands,Solomon Is.
Australia,Australia
Malaysia,Malaysia
Slovenia,Slovenia
East Timor,Timor-Leste
South Africa,South Africa
Panama,Panama
Belize,Belize
Namibia,Namibia
Senegal,Senegal
Guinea-Bissau,Guinea-Bissau
Malawi,Malawi
Jordan,Jordan
Vietnam,Vietnam
North Korea,North Korea
Netherlands,Netherlands
Sri Lanka,Sri Lanka
Djibouti,Djibouti
Rwanda,Rwanda
Trinidad and Tobago,Trinidad and Tobago
Fiji,Fiji
Russia,Russia
Jamaica,Jamaica
Gabon,Gabon
Moldova,Moldova
Lesotho,Lesotho
Uruguay,Uruguay
Thailand,Thailand
Myanmar,Myanmar
Iran,Iran
United Kingdom,United Kingdom
Chad,Chad
Haiti,Haiti
Indonesia,Indonesia
Ivory Coast,Côte d'Ivoire
Burkina Faso,Burkina Faso
Central African Republic,Central African Rep.
Republic of the Congo,Congo
India,India
Bangladesh,Bangladesh
Sweden,Sweden
Latvia,Latvia
Estonia,Estonia
Bulgaria,Bulgaria
Luxembourg,Luxembourg
New Zealand,New Zealand
Czechia,Czechia
Eritrea,Eritrea
Morocco,Morocco
Falkland Islands,Falkland Is.
Norway,Norway
Puerto Rico,Puerto Rico
Cuba,Cuba
Botswana,Botswana
Togo,Togo
Liberia,Liberia
Zimbabwe,Zimbabwe
El Salvador,El Salvador
Israel,Israel
Lebanon,Lebanon
Kuwait,Kuwait
Iraq,Iraq
Cambodia,Cambodia
Chile,Chile
Sudan,Sudan
Brazil,Brazil
Peru,Peru
Zambia,Zambia
Pakistan,Pakistan
Ukraine,Ukraine
Iceland,Iceland
United Republic of Tanzania,Tanzania
United States of America,United States of America
Kenya,Kenya
Mali,Mali
Cameroon,Cameroon
Mozambique,Mozambique
Angola,Angola
Madagascar,Madagascar
The Bahamas,Bahamas
Mexico,Mexico
Bhutan,Bhutan
Honduras,Honduras
Venezuela,Venezuela
Belarus,Belarus
Qatar,Qatar
Croatia,Croatia
Belgium,Belgium
Ireland,Ireland
Taiwan,Taiwan
Denmark,Denmark
Yemen,Yemen
Libya,Libya
Somaliland,Somaliland
Dominican Republic,Dominican Rep.
French Southern and Antarctic Lands,Fr. S. Antarctic Lands
Suriname,Suriname
France,France
Benin,Benin
Guinea,Guinea
Sierra Leone,Sierra Leone
Egypt,Egypt
South Sudan,S. Sudan
Democratic Republic of the Congo,Dem. Rep. Congo
Somalia,Somalia
